,,,,
Content part,English Content,Arabic Content,,
Address,"El Geish road, Alexandria cornice, Mandara","طريق الجيش, كورنش الأسكندريه, المندره",,
Opening Hours,11 am-2 am,11صباحاُ-2 صباحاُ,,
,,,,
Store name,Sidi Bishr Corniche,سيدي بشر الكورنيش,,
Region,Sidi Bishr - Alexandria ,سيدي بشر-الأسكندريه ,,
Contact number,19277,19277,,
Address,"464 Corniche, Sidi bashr, Bahri. Beside El-Mahrousa Hotel ","464 الكورنيش, سيدي بشر, بحري بجانب فندق المحروسة",,
Opening Hours,11 am-2 am,11صباحاُ-2 صباحاُ,,
,,,,
Store name,Lpassage,Lpassage,,
Region,"Fouad St., Alexandria ","شارع فؤاد, الأسكندريه",,
Contact number,19277,19277,,
Address,"52 El Horya road, Fouad St,.","52طريق الحريه شارع فؤاد 
Lpassage ",,
Opening Hours,11 am-2 am,11صباحاُ-2 صباحاُ,,
,,,,
Store name,Smouha,سموحه,,
Region,"Smouha, Alexandria ","سموحه, الأسكندريه",,
Contact number,19277,19277,,
Address,"El-Nakl w El-handasa St, Teras Smouha, infront of smouha club main gate.","شارع النقل و الهندسة, تراس سموحه, أمام نادي سموحة البوابة الرئيسية",,
Opening Hours,11 am-2 am,11صباحاُ-2 صباحاُ,,
,,,,
Store name,Marina,مارينا,,
Region,North Coast,الساحل الشمالى,,
Contact number,19277,19277,,
Address,Marina Gate 4,مارينا بوابة الرابعه,,
Opening Hours,Closed right now,,,
,,,,
Store name,Hacienda,هاسيندا ,,
Region,North Coast,الساحل الشمالى,,
Contact number,19277,19277,,
Address,Hacienda North Coast km 149 Alex Matrouh road,هاسيندا الساحل الشمالي الكيلو 149طريق اسكندريه مطروح ,,
Opening Hours,Closed right now,,,
,,,,
Store name,Porto Marina,بورتو مارينا,,
Region,North Coast,الساحل الشمالى,,
Contact number,19277,19277,,
Address,Porto Marina Gate 3,بورتو مارينا بوابه 3,,
Opening Hours,Closed right now,,,
,,,,
Store name,Marassi,مراسى,,
Region,North Coast,الساحل الشمالى,,
Contact number,19277,19277,,
Address,Km 125 Alex Matrouh Road,هاسيندا الساحل الشمالي الكيلو 149طريق اسكندريه مطروح,,
Opening Hours,Closed right now,,,
,,,,
